review_text,rating,date
best app hai,5,2026-08-29 10:34:39
good 👍,5,2026-08-29 10:34:18
price increase on every step,1,2026-08-29 10:29:34
thode paise kam krdenaa next time,5,2026-08-29 10:28:55
excellent,5,2026-08-29 10:20:45
"I ordered food and it was bad and smelly. When I reported it, they were not accepting single photos.",1,2026-08-29 10:15:06
cash on delivery ka option nahin aata Hai,4,2026-08-29 10:13:27
Good 👍,5,2026-08-29 10:05:22
Nice and very nice,5,2026-08-29 10:02:15
delivery products got in time Thanks,5,2026-08-29 09:55:45
very good,2,2026-08-29 09:49:15
good,5,2026-08-29 09:40:11
Nice food,5,2026-08-29 09:27:51
mast hai,4,2026-08-29 09:23:48
Good,5,2026-08-29 09:22:48
good,5,2026-08-29 09:15:03
excellent good job,5,2026-08-29 09:08:16
nice,5,2026-08-29 09:04:12
goodp,5,2026-08-29 09:00:29
nice 👍,5,2026-08-29 08:59:22
Good,3,2026-08-29 08:56:49
good service 👍,5,2026-08-29 08:37:17
very bad not ok OK product,1,2026-08-29 08:26:05
Very bad app this is and this app is fraud,1,2026-08-29 08:11:28
Good 😊,5,2026-08-29 07:57:00
good,1,2026-08-29 07:53:45
"very good delivery, very good zomato...",5,2026-08-29 07:48:08
the dilevery man of this app sucks,1,2026-08-29 06:48:09
nice,1,2026-08-29 05:59:22
Excellent,5,2026-08-29 03:46:43
worst customer service,1,2026-08-29 03:31:48
good I like it,3,2026-08-29 03:27:57
good service,5,2026-08-29 03:03:30
nice,5,2026-08-29 03:01:52
late delivery 🚚,3,2026-08-29 02:46:34
nice,1,2026-08-29 02:23:52
good 👍,5,2026-08-29 02:20:42
nice app,4,2026-08-29 02:20:35
ok,5,2026-08-29 02:15:40
Good,5,2026-08-29 02:12:07
😡,1,2026-08-29 02:09:11
good parfect,5,2026-08-29 02:08:49
good,4,2026-08-29 02:05:24
নাইস,5,2026-08-29 02:00:40
very good .and thanks full good luking,5,2026-08-29 01:57:36
good,5,2026-08-29 01:54:54
one off the worst customer support disconnecting the call without giving any resolution.,1,2026-08-29 01:51:31
TRAI Karke dekhte hain Achcha lagega to Ek aap log ke liye upvas Rakha Hua hun Ek party mein bulaunga,4,2026-08-29 01:46:16
nice 🙂,5,2026-08-29 01:44:52
food repeatedly gets stolen and the customer support is non-existent it's fraud at this point,1,2026-08-29 01:37:57
open for late night good.,4,2026-08-29 01:33:52
Great 😃,5,2026-08-29 01:30:13
I like i,5,2026-08-29 01:28:31
waiting the order 😊,4,2026-08-29 01:27:33
nice 👍🏻,5,2026-08-29 01:22:12
great app fully health and yummy 🤤 food,5,2026-08-29 01:15:15
good,5,2026-08-29 01:14:55
love you bruh,5,2026-08-29 01:14:23
nice,5,2026-08-29 01:10:25
so beautiful and so eligate,5,2026-08-29 01:01:55
ತ್ಮತುಬೆ ಉಂನ್ದರ್ರೋ,1,2026-08-29 01:00:55
very good,5,2026-08-29 00:58:58
good,5,2026-08-29 00:56:32
bad,1,2026-08-29 00:52:14
good,5,2026-08-29 00:51:51
best food delivery,5,2026-08-29 00:51:45
service is good,5,2026-08-29 00:50:41
worst,1,2026-08-29 00:49:21
"Your food offers attracted me, but the user-specific pricing for using the app essentially neutralizes the benefit of those offers.",4,2026-08-29 00:48:32
fast time I use,5,2026-08-29 00:31:20
his app very humfull because food is not good very bad don't use,1,2026-08-29 00:25:52
froud,1,2026-08-29 00:22:55
good,5,2026-08-29 00:22:37
ok,5,2026-08-29 00:22:33
so good 👍,5,2026-08-29 00:21:47
dont think of that dominos would be such a beggar saving a 1 rupee sauce pauch u could charge 10 rupees more nobody cares of that,1,2026-08-29 00:21:28
👍,5,2026-08-29 00:20:15
excellent aap,5,2026-08-29 00:12:21
good,5,2026-08-29 00:11:03
satisfied,4,2026-08-29 00:10:38
Excellent,5,2026-08-29 00:10:10
very good 👍👍👍👍👍👍👍👍👍,5,2026-08-29 00:07:33
worst ever experience and damn bad application,1,2026-08-29 00:06:25
good,4,2026-08-29 00:06:16
thank for cashback,5,2026-08-29 00:05:27
good 💯😊,5,2026-08-29 00:04:27
bad service,1,2026-08-29 00:03:36
excellent,5,2026-08-29 00:01:54
👍,5,2026-08-28 23:59:54
nice food,5,2026-08-28 23:59:05
despointet,1,2026-08-28 23:58:25
good sarves,5,2026-08-28 23:58:19
thank you,5,2026-08-28 23:58:12
rate too high,1,2026-08-28 23:57:28
very bad,1,2026-08-28 23:57:27
waste app dont order fraud app,1,2026-08-28 23:57:15
order delay,1,2026-08-28 23:56:58
good,5,2026-08-28 23:56:43
bad service horrible experience,1,2026-08-28 23:55:45
good but rate is very hay,4,2026-08-28 23:51:38
